id,fecha,escuderia,motor,carrera_id,circuito,pais,vueltas,tiempo_carrera_min,posicion_final,puntos,podio,dnf,vuelta_rapida,clima,temperatura_pista_c
15,2022-03-20,Alpine,Renault,3,Bahrain International Circuit,Bahrain,57,98.6,9,2,False,False,False,Seco,38.1
16,2022-07-10,Red Bull Racing,RBPT,4,Silverstone Circuit,Reino Unido,52,88.4,2,18,True,False,False,Nublado,22.1
17,2022-07-10,Ferrari,Ferrari,4,Silverstone Circuit,Reino Unido,52,87.9,1,25,True,False,True,Nublado,22.0
18,2022-07-10,Mercedes,Mercedes,4,Silverstone Circuit,Reino Unido,52,89.1,3,16,True,False,False,Nublado,21.9
19,2022-07-10,McLaren,Mercedes,4,Silverstone Circuit,Reino Unido,52,90.5,7,6,False,False,False,Nublado,21.8
20,2022-07-10,Alpine,Renault,4,Silverstone Circuit,Reino Unido,51,91.0,15,0,False,True,False,Nublado,21.5
21,2023-03-05,Red Bull Racing,RBPT,5,Bahrain International Circuit,Bahrain,57,94.2,1,25,True,False,True,Seco,36.4
22,2023-03-05,Aston Martin,Mercedes,5,Bahrain International Circuit,Bahrain,57,96.2,3,15,True,False,False,Seco,36.2
23,2023-03-05,Mercedes,Mercedes,5,Bahrain International Circuit,Bahrain,57,97.0,5,10,False,False,False,Seco,36.0
24,2023-03-05,Ferrari,Ferrari,5,Bahrain International Circuit,Bahrain,40,65.0,16,0,False,True,False,Seco,36.5
25,2023-03-05,McLaren,Mercedes,5,Bahrain International Circuit,Bahrain,56,98.1,17,0,False,False,False,Seco,36.1
26,2023-09-03,Red Bull Racing,RBPT,6,Autodromo Nazionale di Monza,Italia,51,73.5,1,26,True,False,True,Seco,30.2
27,2023-09-03,Ferrari,Ferrari,6,Autodromo Nazionale di Monza,Italia,51,74.1,3,15,True,False,False,Seco,30.0
28,2023-09-03,Mercedes,Mercedes,6,Autodromo Nazionale di Monza,Italia,51,74.8,6,8,False,False,False,Seco,30.1
29,2023-09-03,Aston Martin,Mercedes,6,Autodromo Nazionale di Monza,Italia,51,75.5,8,4,False,False,False,Seco,29.8
30,2023-09-03,McLaren,Mercedes,6,Autodromo Nazionale di Monza,Italia,51,75.2,7,6,False,False,False,Seco,29.9
31,2024-03-02,Red Bull Racing,RBPT,7,Bahrain International Circuit,Bahrain,57,94.0,1,26,True,False,True,Seco,33.1
32,2024-03-02,Ferrari,Ferrari,7,Bahrain International Circuit,Bahrain,57,96.3,3,15,True,False,False,Seco,33.0
33,2024-03-02,Mercedes,Mercedes,7,Bahrain International Circuit,Bahrain,57,97.2,7,6,False,False,False,Seco,32.8
34,2024-03-02,McLaren,Mercedes,7,Bahrain International Circuit,Bahrain,57,95.8,2,18,True,False,False,Seco,32.9
35,2024-03-02,Aston Martin,Mercedes,7,Bahrain International Circuit,Bahrain,57,97.8,9,2,False,False,False,Seco,32.5
36,2024-05-05,Red Bull Racing,RBPT,8,Miami International Autodrome,Estados Unidos,57,92.5,2,18,True,False,False,Seco,41.2
37,2024-05-05,McLaren,Mercedes,8,Miami International Autodrome,Estados Unidos,57,91.8,1,25,True,False,True,Seco,41.0
38,2024-05-05,Ferrari,Ferrari,8,Miami International Autodrome,Estados Unidos,57,93.1,3,15,True,False,False,Seco,41.1
39,2024-05-05,Mercedes,Mercedes,8,Miami International Autodrome,Estados Unidos,57,94.0,4,12,False,False,False,Seco,40.8
40,2024-05-05,Alpine,Renault,8,Miami International Autodrome,Estados Unidos,56,95.5,10,1,False,False,False,Seco,40.5
41,2025-03-16,Red Bull Racing,RBPT,9,Albert Park Circuit,Australia,58,89.2,1,25,True,False,True,Seco,24.1
42,2025-03-16,Ferrari,Ferrari,9,Albert Park Circuit,Australia,58,90.1,2,18,True,False,False,Seco,24.0
43,2025-03-16,McLaren,Mercedes,9,Albert Park Circuit,Australia,58,90.8,3,15,True,False,False,Seco,23.9
44,2025-03-16,Mercedes,Mercedes,9,Albert Park Circuit,Australia,58,91.5,5,10,False,False,False,Seco,23.8
45,2025-03-16,Aston Martin,Mercedes,9,Albert Park Circuit,Australia,57,92.6,11,0,False,False,False,Seco,23.5
46,2025-05-25,Ferrari,Ferrari,10,Circuit de Monaco,Mónaco,78,104.2,1,26,True,False,True,Seco,26.5
47,2025-05-25,McLaren,Mercedes,10,Circuit de Monaco,Mónaco,78,105.0,2,18,True,False,False,Seco,26.4
48,2025-05-25,Red Bull Racing,RBPT,10,Circuit de Monaco,Mónaco,78,106.1,4,12,False,False,False,Seco,26.2
49,2025-05-25,Mercedes,Mercedes,10,Circuit de Monaco,Mónaco,78,105.8,3,15,True,False,False,Seco,26.3
50,2025-05-25,Alpine,Renault,10,Circuit de Monaco,Mónaco,77,108.0,12,0,False,False,False,Seco,26.0
